vehicle_id,route_id,trip_id,stop_id,direction_id,current_status,current_stop_sequence,label,latitude,longitude,speed,bearing,updated_at
ynk210,Shuttle-Generic,BL-107390542,,,IN_TRANSIT_TO,,210,42.339029,-71.044449,,,2025-12-09 12:31:44+00:00
y1730,22,71465350,1222,1.0,STOPPED_AT,27.0,1730,42.33126,-71.094491,,45.0,2025-12-09 13:01:57+00:00
y3147,70,71696188,73,1.0,STOPPED_AT,41.0,3147,42.362709,-71.099157,,,2025-12-09 13:01:57+00:00
ynk340,Shuttle-Generic,BL-131443947,,,IN_TRANSIT_TO,,340,42.357583,-71.141497,,99.0,2025-12-09 13:01:57+00:00
y2083,83,71694821,24581,0.0,STOPPED_AT,15.0,2083,42.38601,-71.114448,,,2025-12-09 13:01:28+00:00
y3233,747,71375264,91391,0.0,IN_TRANSIT_TO,3.0,3233,42.336857,-71.097881,,241.0,2025-12-09 13:01:48+00:00
y3157,78,71695673,2156,1.0,STOPPED_AT,36.0,3157,42.385495,-71.137777,,,2025-12-09 13:01:51+00:00
y3325,426,71826150,16653,1.0,STOPPED_AT,1.0,3325,42.461992,-70.946842,,,2025-12-09 13:00:59+00:00
y1932,70,71696174,9522,1.0,STOPPED_AT,1.0,1932,42.372756,-71.263793,,,2025-12-09 13:01:33+00:00
y3351,116,71825893,5747,0.0,STOPPED_AT,6.0,3351,42.382518,-71.039203,,,2025-12-09 13:01:26+00:00
y2067,111,71994035,5628,0.0,STOPPED_AT,18.0,2067,42.405392,-71.030002,,,2025-12-09 13:01:50+00:00
y1881,504,71467210,9983,0.0,IN_TRANSIT_TO,4.0,1881,42.350964,-71.066038,,180.0,2025-12-09 13:01:56+00:00
y1927,87,71694607,2625,0.0,IN_TRANSIT_TO,15.0,1927,42.389656,-71.117008,,330.0,2025-12-09 13:01:58+00:00
y2011,88,71694513,2581,1.0,STOPPED_AT,7.0,2011,42.396685,-71.122768,,,2025-12-09 13:01:54+00:00
y1706,31,72094274,543,1.0,IN_TRANSIT_TO,9.0,1706,42.284259,-71.091496,,347.0,2025-12-09 13:01:54+00:00
y1775,23,71468367,469,1.0,STOPPED_AT,13.0,1775,42.306992,-71.082223,,334.0,2025-12-09 13:01:55+00:00
y1281,749,72040057,49001,0.0,STOPPED_AT,1.0,1281,42.355384,-71.062246,,,2025-12-09 13:01:42+00:00
y1410,89,71998420,5015,0.0,STOPPED_AT,18.0,1410,42.397239,-71.121855,,,2025-12-09 13:01:50+00:00
y1656,51,72093791,10642,0.0,STOPPED_AT,1.0,1656,42.299499,-71.114608,,,2025-12-09 13:01:38+00:00
